Adams,"225 South Franklin Street, Gettysburg, PA 17325-4446","Adams County Assistance Office
225 South Franklin Street
P.O. Box 4446
Gettysburg, PA 17325-4446","Toll Free: 1-800-638-6816
Phone: 717-334-6241
FAX: 717-334-4104",39.8277325,-77.2353248
Allegheny,"301 5th Avenue, Pittsburgh, PA 15222","Allegheny County Assistance Office Headquarters
Piatt Place
301 5th Avenue, Suite 470
Pittsburgh, PA 15222","Phone: 412-565-2146
FAX: 412-565-3660",40.4409188,-79.9996159
Armstrong,"1280 North Water Street, Kittanning, PA 16201-0898","Armstrong County Assistance Office
1280 North Water Street
Kittanning, PA 16201-0898","Toll Free: 1-800-424-5235
Phone: 724-543-1651
LIHEAP 724-543-6076 or
800-543-5105
FAX: 724-548-0274",40.8307779,-79.5293764
Beaver,"171 Virginia Avenue, Rochester, PA 15074-0349","Beaver County Assistance Office
171 Virginia Avenue
P. O. Box 349
Rochester, PA 15074-0349","Toll Free: 1-800-653-3129
Phone: 724-773-7300
LIHEAP 724-773-7495
FAX: 724-773-7859",40.7021688,-80.2768833
Bedford,"150 North Street, Bedford, PA 15522-1040","Bedford County Assistance Office
150 North Street
Bedford, PA 15522-1040","Toll Free: 1-800-542-8584
Phone: 814-623-6127
LIHEAP 814-624-4072
FAX: 814-623-7310",40.0243393,-78.505242
Berks,"625 Cherry Street, Reading, PA 19602-1188","Berks County Assistance Office
Reading State Office Building
625 Cherry Street
Reading, PA 19602-1188","Toll Free: 1-866-215-3912
Phone: 610-736-4211
LIHEAP 610-736-4228
or 866-215-3911
FAX: 610-736-4004",40.3346077,-75.9245301
Blair,"1100 Green Avenue, Altoona, PA 16601-3440","Blair County Assistance Office
1100 Green Avenue
Altoona, PA 16601-3440","Toll Free: 1-866-812-3341
LIHEAP 814-946-7365
FAX: 814-941-6813",40.5167027,-78.3997564
Bradford ,"1 Elizabeth Street, Towanda, PA 18848-0398","Bradford County Assistance Office
1 Elizabeth Street, Suite 4
P.O. Box 398
Towanda, PA 18848-0398","Toll Free: 1-800-542-3938
Phone: 570-265-9186
FAX: 570-265-3061",41.7626956,-76.4426234
Bucks,"1214 Veterans Highway, Bristol, PA 19007-2593","Bucks County Assistance Office
1214 Veterans Highway
Bristol, PA 19007-2593","Phone: 215-781-3300
Toll Free: 1-800-362-1291
LIHEAP 215-781-3393
or 1-800-616-6481
FAX: 215-781-3438",40.1086375,-74.8766914
Butler ,"108 Woody Drive, Butler, PA 16001-5692","Butler County Assistance Office
108 Woody Dr.
Butler, PA 16001-5692","Toll Free: 1-866-256-0093
Phone: 724-284-8844
FAX: 724-284-8833",40.8554724,-79.9081836
Cambria ,"625 Main Street, Johnstown, PA 15901-1678","Cambria County Assistance Office
625 Main Street
Johnstown, PA 15901-1678","Toll Free: 1-877-315-0389
Phone: 814-533-2491
LIHEAP 814-533-2253
FAX: 814-533-2214",40.3242343,-78.9152816
Cameron,"411 Chestnut Street, Emporium, PA 15834-0071","Cameron County Assistance Office
411 Chestnut Street
P.O. Box 71
Emporium, PA 15834-0071","Toll Free: 1-888-855-1824
Phone: 814-486-3757
LIHEAP 814-486-1206
FAX: 814-486-1379",41.5119191,-78.235668
Carbon,"101 Lehigh Drive, Lehighton, PA 18235","Carbon County Assistance Office
101 Lehigh Drive
Lehighton, PA 18235","Toll Free: 1-800-314-0963
Phone: 610-577-9020
LIHEAP (cash) 610-577-9073
LIHEAP (crisis) 866-410-2093
FAX: 610-577-9043",40.8260457,-75.7028592
Centre,"2580 Park Center Boulevard, State College, PA 16801-3005","Centre County Assistance Office
2580 Park Center
Boulevard
State College, PA 16801-3005","Toll Free: 1-800-355-6024
Phone: 814-863-6571
LIHEAP: 814-861-1955
FAX: 814-689-1356",40.7679622,-77.8826069
Chester,"100 James Buchanan Drive, Thorndale, PA 19372-1132","Chester County Assistance Office
100 James Buchanan Drive
Thorndale, PA 19372-1132","Toll Free: 1-888-814-4698
Phone: 610-466-1000
LIHEAP 610-466-1042
FAX: 610-466-1130",39.9946653,-75.7663523
Clarion,"71 Lincoln Drive, Clarion, PA 16214-3861","Clarion County Assistance Office
71 Lincoln Drive
Clarion, PA 16214-3861","Toll Free: 1-800-253-3488
Phone: 814-226-1700
LIHEAP 814-226-1780
FAX: 814-226-1794",41.1824997,-79.397117
Clearfield,"1025 Leonard Street, Clearfield, PA 16830","Clearfield County Assistance Office
1025 Leonard Street
Clearfield, PA 16830","Toll Free: 1-800-521-9218
Phone: 814-765-7591
LIHEAP 814-765-0684
or 800-862-8941
FAX: 814-765-0802",41.0244164,-78.4102314
Clinton,"300 Bellefonte Avenue, Lock Haven, PA 17745-1929","Clinton County Assistance Office
300 Bellefonte Avenue, Suite 101
Lock Haven, PA 17745-1929","Toll Free: 1-800-820-4159
Phone: 570-748-2971
LIHEAP 570-893-4409
FAX: 570-893-2973",41.1350678,-77.4517324
Columbia,"27 East Seventh Street, Bloomsburg, PA 17815-0628","Columbia County Assistance Office
27 East Seventh Street
P.O. Box 628
Bloomsburg, PA 17815-0628","Toll Free: 1-877-211-1322
Phone: 570-387-4200
LIHEAP 570-387-4232
FAX: 570-387-4708",40.998778,-76.451846
Crawford,"1084 Water Street, Meadville, PA 16335-7187","Crawford County Assistance Office
1084 Water Street
P.O. Box 1187
Meadville, PA 16335-7187","Toll Free:1-800-527-7861
Phone: 814-333-3400
LIHEAP 814-333-3400
FAX: 814-333-3527",41.6343083,-80.1571753
Cumberland,"33 Westminster Drive, Carlisle, PA 17013-0599","Cumberland County Assistance Office
33 Westminster Drive
Carlisle, PA 17013-0599","Toll Free: 1-800-269-0173
Phone: 717-240-2700
FAX: 717-240-2781",40.1915406,-77.1661026
Dauphin,"2432 N. 7th Street, Harrisburg, PA 17110-0959","Dauphin County Assistance Office
2432 N. 7th Street
P.O. Box 5959
Harrisburg, PA 17110-0959","Toll Free: 1-800-788-5616
Phone: 717-787-2324
LIHEAP 717-265-8919
FAX: 717-772-4703",40.2867674,-76.8911048
Delaware,"701 Crosby Street, Chester, PA 19013-6099","Delaware County Assistance Office Headquarters
701 Crosby Street, Suite A
Chester, PA 19013-6099","Phone: 610-447-5500
LIHEAP 610-447-3099
FAX: 610-447-5399",39.852115,-75.3583572
Elk,"145 Race Street, Ridgway, PA 15853-0327","Elk County Assistance Office
145 Race Street
P.O. Box F
Ridgway, PA 15853-0327","Toll Free: 1-800-847-0257
Phone: 814-776-1101
LIHEAP 814-772-5215 or 814-776-1101
FAX: 814-772-7007",41.42196,-78.732676
Erie,"1316 Holland Street, Erie, PA 16512-0958","Erie County Assistance Office
1316 Holland Street
P.O. Box 958
Erie, PA 16512-0958","Toll Free: 1-800-635-1014
Phone: 814-461-2000
LIHEAP 814-461-2002
FAX: 814-461-2294",42.1238374,-80.0768186
Fayette,"41 West Church Street, Uniontown, PA 15401-3418","Fayette County Assistance Office
41 West Church Street
Uniontown, PA 15401-3418","Toll Free: 1-877-832-7545
Phone: 724-439-7015
LIHEAP 724-439-7125
FAX: 724-439-7002",39.899548,-79.7265358
